,updatedAt,createdAt,name,label,type,fieldType,description,groupName,options,createdUserId,updatedUserId,displayOrder,calculated,externalOptions,archived,hasUniqueValue,hidden,modificationMetadata,formField,calculationFormula,showCurrencySymbol,hubspotDefined,referencedObjectType
0,2024-01-11T21:05:43.215Z,2024-01-11T17:31:04.054Z,aacv_adj_gross_revenue_adhererx__c,AACV Adj Gross Revenue (AdhereRx),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_adhererx__c * hs_forecast_probability),,,
1,2024-01-11T21:06:11.860Z,2024-01-11T17:31:27.769Z,aacv_adj_gross_revenue_cc__c,AACV Adj Gross Revenue (CC),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_cc__c * hs_forecast_probability),,,
2,2024-01-11T21:06:02.267Z,2024-01-11T17:31:19.815Z,aacv_adj_gross_revenue_d__c,AACV Adj Gross Revenue (D),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_d__c * hs_forecast_probability),,,
3,2024-01-11T21:05:40.153Z,2024-01-11T17:31:01.108Z,aacv_adj_gross_revenue_mtm__c,AACV Adj Gross Revenue (MTM),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_mtm__c * hs_forecast_probability),,,
4,2024-01-11T21:05:51.481Z,2024-01-11T17:31:10.085Z,aacv_adj_gross_revenue_p3link__c,AACV  Adj Gross Revenue (Optimize SaaS),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_p3link__c * hs_forecast_probability),,,
5,2024-01-11T21:05:45.980Z,2024-01-11T17:31:06.247Z,aacv_adj_gross_revenue_pp__c,AACV  Adj Gross Revenue (PP),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_pp__c * hs_forecast_probability),,,
6,2024-01-11T21:05:54.128Z,2024-01-11T17:31:12.230Z,aacv_adj_gross_revenue_q__c,AACV  Adj Gross Revenue (Q),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_q__c * hs_forecast_probability),,,
7,2024-01-11T21:05:59.773Z,2024-01-11T17:31:17.447Z,aacv_adj_gross_revenue_qilink__c,AACV Adj Gross Revenue (Resolve SaaS),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_qilink__c * hs_forecast_probability),,,
8,2024-01-11T21:05:36.634Z,2024-01-11T17:30:57.888Z,aacv_adj_gross_revenue_r_e__c,AACV Adj Gross Revenue (R-E),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_r_e__c * hs_forecast_probability),,,
9,2024-01-11T21:05:34.530Z,2024-01-11T17:30:55.696Z,aacv_adj_gross_revenue_r_hp__c,AACV Adj Gross Revenue  (R-HP),number,calculation_equation,,sf-calculated,[],52669308,52669308,-1,True,False,False,False,False,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,(aacv_gross_revenue_r_hp__c * hs_forecast_probability),,,
