,updatedAt,createdAt,name,label,type,fieldType,description,groupName,options,displayOrder,calculated,externalOptions,hasUniqueValue,hidden,hubspotDefined,modificationMetadata,formField,createdUserId,updatedUserId,archived,calculationFormula,showCurrencySymbol,referencedObjectType
0,2022-05-27T22:46:58.812Z,2019-08-06T02:41:46.048Z,about_us,About Us,string,text,Short about-company,companyinformation,[],-1,False,False,False,False,True,"{'archivable': True, 'readOnlyDefinition': True, 'readOnlyValue': False}",False,,,,,,
1,2024-01-16T19:06:41.287Z,2024-01-16T19:06:41.287Z,account_id_18__c,Account Id (18) [SF],number,calculation_equation,,sf-calculated,[],-1,True,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': True}",False,52669308,52669308,False,closedate - createdate,,
2,2023-12-07T14:10:26.780Z,2023-12-07T14:10:26.780Z,account_priority__c,Account Priority,enumeration,select,,salesforceinformation,"[{'label': 'A', 'value': 'A', 'description': '', 'displayOrder': 0, 'hidden': False}, {'label': 'B', 'value': 'B', 'description': '', 'displayOrder': 1, 'hidden': False}, {'label': 'C', 'value': 'C', 'description': '', 'displayOrder': 2, 'hidden': False}, {'label': 'D', 'value': 'D', 'description': '', 'displayOrder': 3, 'hidden': False}, {'label': 'E', 'value': 'E', 'description': '', 'displayOrder': 4, 'hidden': False}]",-1,False,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': False}",True,,,False,,,
3,2023-12-07T14:10:19.264Z,2023-12-07T14:10:19.264Z,account_type__c,Account Type,enumeration,select,,salesforceinformation,"[{'label': 'Health Plan', 'value': 'Health Plan', 'description': '', 'displayOrder': 0, 'hidden': False}, {'label': 'Hospital System', 'value': 'Hospital System', 'description': '', 'displayOrder': 1, 'hidden': False}, {'label': 'Home Health', 'value': 'Home Health', 'description': '', 'displayOrder': 2, 'hidden': False}, {'label': 'Mental Health', 'value': 'Mental Health', 'description': '', 'displayOrder': 3, 'hidden': False}, {'label': 'PCP, Specialty', 'value': 'PCP, Specialty', 'description': '', 'displayOrder': 4, 'hidden': False}, {'label': 'Business', 'value': 'Business', 'description': '', 'displayOrder': 5, 'hidden': False}, {'label': 'Self', 'value': 'Self', 'description': '', 'displayOrder': 6, 'hidden': False}, {'label': 'Insured Business', 'value': 'Insured Business', 'description': '', 'displayOrder': 7, 'hidden': False}, {'label': 'Social Worker', 'value': 'Social Worker', 'description': '', 'displayOrder': 8, 'hidden': False}, {'label': 'Fill in', 'value': 'Fill in', 'description': '', 'displayOrder': 9, 'hidden': False}, {'label': 'Provider, Other', 'value': 'Provider, Other', 'description': '', 'displayOrder': 10, 'hidden': False}, {'label': 'Partner', 'value': 'Partner', 'description': '', 'displayOrder': 11, 'hidden': False}]",-1,False,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': False}",True,,,False,,,
4,2023-12-07T14:10:27.460Z,2023-12-07T14:10:27.460Z,active__c,Active,enumeration,booleancheckbox,,salesforceinformation,"[{'label': 'Yes', 'value': 'true', 'description': '', 'displayOrder': 0, 'hidden': False}, {'label': 'No', 'value': 'false', 'description': '', 'displayOrder': 1, 'hidden': False}]",-1,False,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': False}",True,,,False,,,
5,2023-12-07T14:09:55.585Z,2023-12-07T14:09:55.585Z,actively_participate_in_industry_ah_even__c,ER: Actively participate industry/AH,enumeration,booleancheckbox,,salesforceinformation,"[{'label': 'Yes', 'value': 'true', 'description': '', 'displayOrder': 0, 'hidden': False}, {'label': 'No', 'value': 'false', 'description': '', 'displayOrder': 1, 'hidden': False}]",-1,False,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': False}",True,,,False,,,
6,2023-12-07T14:09:56.350Z,2023-12-07T14:09:56.350Z,adherepack_managed_medicaid_members_grad__c,AdherePack Managed Medicaid Grade,string,text,,salesforceinformation,[],-1,False,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': False}",True,,,False,,,
7,2023-12-07T14:10:19.870Z,2023-12-07T14:10:19.870Z,adherepack_mapd_grade__c,AdherePack MAPD Grade,string,text,,salesforceinformation,[],-1,False,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': False}",True,,,False,,,
8,2023-12-07T14:10:05.268Z,2023-12-07T14:10:05.268Z,adherepack_market_exchange_members_grade__c,AdherePack Market Exchange Grade,string,text,,salesforceinformation,[],-1,False,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': False}",True,,,False,,,
9,2023-12-07T14:10:15.116Z,2023-12-07T14:10:15.116Z,adherepack_mmp_grade__c,AdherePack MMP Grade,string,text,,salesforceinformation,[],-1,False,False,False,False,,"{'archivable': True, 'readOnlyDefinition': False, 'readOnlyValue': False}",True,,,False,,,
